ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
106,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.9,Rimantienė 1971; 1974,
107,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.10,Rimantienė 1971; 1974,
108,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.11,Rimantienė 1971; 1974,
109,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.12,Rimantienė 1971; 1974,
110,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.1,Rimantienė 1971; 1974,
111,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.2,Rimantienė 1971; 1974,
112,Merkys-Ūla,Merkys-Ūla,24.34,54.16,Lithuania,Baltic Magdalenian,Mer-Ula.3,Rimantienė 1971; 1974,
113,Mitriškės,Mitriškės,24.55,54.24,Lithuania,Baltic Magdalenian,Mit6.1,Rimantienė 1971; 1974,
114,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.1,Kalechic and Obuchovsky 2004,
115,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.3,Kalechic and Obuchovsky 2004,
116,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.4,Kalechic and Obuchovsky 2004,
117,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.5,Kalechic and Obuchovsky 2004,
118,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.6,Kalechic and Obuchovsky 2004,
119,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.10,Kalechic and Obuchovsky 2004,
120,Motol,Motol (17),25.59,52.32,Belarus,Wolkushian,Mot.17.11,Kalechic and Obuchovsky 2004,
121,Płaska,Płaska,23.17,53.87,Poland,Wolkushian,Pla.1,Szymczak 1995,
122,Podol,Podol (3),34.85,56.3,Russia,Podolian,Pod.III.2,Sinitsyna 2002; 2004,
