ID,Site,Context,Longitude,Latitude,Country,Archaeological_Unit,File_Name,Reference,Notes
196,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.10,Breest and Gerken 2008,
197,Sassenholz,Sassenholz (82),9.31,53.35,Germany,Bromme (Western Europe),Sas.82.11,Breest and Gerken 2008,
198,Sølystgaard,Sølystgaard (M2),9.27,55.48,Denmark,Bromme (Western Europe),MKH411.1,Riede et al. 2011,
199,Sølystgaard,Sølystgaard (M2),9.27,55.48,Denmark,Bromme (Western Europe),MKH411.2,Riede et al. 2011,
200,Sølystgaard,Sølystgaard (SV),9.27,55.48,Denmark,Bromme (Western Europe),MKH1124.2,Riede et al. 2011,
201,Sølystgaard,Sølystgaard (SV),9.27,55.48,Denmark,Bromme (Western Europe),MKH1124.3,Riede et al. 2011,
202,Anholt,Anholt,11.56,56.71,Denmark,Pitted Ware (Type A),Anholt.1,Becker 1950,
203,Anholt,Anholt,11.56,56.71,Denmark,Pitted Ware (Type A),Anholt.2,Becker 1950,
204,Anholt,Anholt,11.56,56.71,Denmark,Pitted Ware (Type A),Anholt.3,Becker 1950,
205,Anholt,Anholt,11.56,56.71,Denmark,Pitted Ware (Type A),Anholt.4,Becker 1950,
206,Søtofte,Søtofte (Grave 36),11.69,55.51,Denmark,Pitted Ware (Type A),Sotofte.1,Becker 1950,
207,Føllenslev,Føllenslev (Grave 2),11.35,55.73,Denmark,Pitted Ware (Type A),Follenslev.1,Becker 1950,
208,Smedegaarde,Smedegaarde,10,57.03,Denmark,Pitted Ware (Type A),Smedegaarde.1,Marseen 1962,
209,Smedegaarde,Smedegaarde,10,57.03,Denmark,Pitted Ware (Type A),Smedegaarde.2,Marseen 1962,
210,Smedegaarde,Smedegaarde,10,57.03,Denmark,Pitted Ware (Type A),Smedegaarde.3,Marseen 1962,
211,Smedegaarde,Smedegaarde,10,57.03,Denmark,Pitted Ware (Type A),Smedegaarde.4,Marseen 1962,
212,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.1,Rasmussen 1991,
213,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.2,Rasmussen 1991,
214,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.3,Rasmussen 1991,
215,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.6,Rasmussen 1991,
216,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.7,Rasmussen 1991,
217,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.8,Rasmussen 1991,
218,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.9,Rasmussen 1991,
219,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.10,Rasmussen 1991,
220,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.11,Rasmussen 1991,
221,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.12,Rasmussen 1991,
222,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.13,Rasmussen 1991,
223,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.1.14,Rasmussen 1991,
224,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.2.1,Rasmussen 1991,
225,Kainsbakke,Kainsbakke (2),10.74,56.41,Denmark,Pitted Ware (Type A),Kainsbakke.2.2,Rasmussen 1991,
226,Anosovo,Anosovo,31.55,54.59,Russia,Vyshegorian,Ano.1,Sinitsyna 2002; 2004,
227,Anosovo,Anosovo,31.55,54.59,Russia,Vyshegorian,Ano.2,Sinitsyna 2002; 2004,
228,Anosovo,Anosovo,31.55,54.59,Russia,Vyshegorian,Ano.3,Sinitsyna 2002; 2004,
229,Anosovo,Anosovo,31.55,54.59,Russia,Vyshegorian,Ano.4,Sinitsyna 2002; 2004,
230,Vishegore,Vishegore,32.82,55.07,Russia,Vyshegorian,Vis.1,Sinitsyna 2002; 2004,
231,Vishegore,Vishegore,32.82,55.07,Russia,Vyshegorian,Vis.2,Sinitsyna 2002; 2004,
232,Vishegore,Vishegore,32.82,55.07,Russia,Vyshegorian,Vis.3,Sinitsyna 2002; 2004,
233,Vishegore,Vishegore,32.82,55.07,Russia,Vyshegorian,Vis.4,Sinitsyna 2002; 2004,
